word,grade,set (week),definition,sentence
nerve,2,13,a part of the body that carries messages between the brain and other parts,A nerve carries signals through the body.
serve,2,13,"to give food, help, or a service to someone",They serve lunch at noon.
fern,2,13,a green plant with feathery leaves that does not make flowers,A fern grew beside the stream.
food,2,13,things people or animals eat for energy and growth,Healthy food gives our bodies energy.
value,2,13,"how useful, important, or worth something is",The old photo has special value to our family.
build,2,13,to make something by putting parts together,We build a tower with blocks.
flat,2,13,"level and smooth, without bumps or curves",The table has a flat top.
ago,2,13,before now,We moved here two years ago.
plan,2,14,an idea or set of steps for what you will do,We made a plan for the project.
went,2,14,traveled or moved somewhere; past form of go,We went to the library.
warm,2,14,slightly hot but not very hot,The soup was warm.
read,2,14,to look at and understand written words,We read a chapter before lunch.
lie,2,14,"to rest in a flat position, or to say something untrue",I like to lie on the grass and watch clouds.
short,2,14,not long or not tall,The pencil became short after much use.
core,2,14,the center or most important part of something,We removed the apple core.
sport,2,14,a game or activity involving skill and often physical effort,Soccer is a team sport.
report,2,14,information written or spoken about a topic,I wrote a report about whales.
port,2,14,"a place where ships load, unload, or stop",The ship entered the port.
done,2,14,finished; a form of do,My homework is done.
solid,2,14,a state of matter that keeps its own shape,Ice is a solid.
liquid,2,14,a state of matter that flows and takes the shape of its container,Water is a liquid.
rise,2,14,to move upward,Hot air can rise.
size,2,14,how big or small something is,We compared the size of the two boxes.
door,2,14,a movable panel used to enter or leave a room or building,Please close the door.
farm,2,15,land and buildings used to grow crops or raise animals,The farm grows corn and keeps chickens.
fire,2,15,heat and light made by burning,We sat safely near the campfire.
home,2,15,the place where a person or family lives,We went home after school.
us,2,15,"the people speaking, used as the object of a verb",The teacher gave us new books.
move,2,15,to change position or place,Please move your chair closer.
bump,2,15,"to hit something lightly, or a raised area on a surface",Be careful not to bump your head.
stump,2,15,the bottom part of a tree left after the trunk is cut,We sat on an old tree stump.
clump,2,15,a group of things packed or growing closely together,A clump of grass grew near the fence.
stamp,2,15,"a small paper label used on mail, or to press a mark onto something",Put a stamp on the envelope.
clamp,2,15,a tool that holds things tightly together,The clamp held the wood in place.
camp,2,15,a place where people stay in tents or cabins for a short time,We slept in a tent at camp.
pride,2,15,a feeling of happiness or satisfaction about something done well,She felt pride after finishing the project.
test,2,15,a set of questions or tasks used to check knowledge or ability,We studied for the spelling test.
event,2,15,"something that happens, especially an organized activity",The school fair is a big event.
love,2,15,a strong feeling of care and affection,I love spending time with my family.
guess,2,15,an answer or idea made without knowing for sure,I made a guess about how many beans were in the jar.
try,2,16,to make an effort to do something,Try to solve the puzzle.
rest,2,16,time spent relaxing or not working,"After the hike, we took a rest."
hand,2,16,the body part at the end of the arm,Raise your hand if you know the answer.
seven,2,16,the number 7,There are seven days in a week.
again,2,16,one more time,Please read the sentence again.
fast,2,16,moving or happening quickly,The rabbit can run fast.
past,2,16,time that has already happened,We learned about the past in history class.
last,2,16,"coming after all the others, or continuing for a length of time",She was the last person in line.
cost,2,16,the amount of money needed to buy something,The book's cost was five dollars.
blast,2,16,"a sudden strong burst of air, sound, or force",A blast of wind shook the window.
cast,2,16,the group of actors in a play or movie,The cast bowed after the play.
oral,2,16,spoken instead of written,We gave an oral report.
box,2,16,"a container with flat sides, usually square or rectangular",The shoes came in a box.
fuel,2,16,a material used to provide energy,Gasoline is one kind of fuel.
record,2,16,"information kept for later, or the act of saving sound or video",We kept a record of the plant's growth.
full,2,16,holding as much as possible or containing a lot,The glass is full of water.
feet,2,17,more than one foot,My feet were tired after the walk.
off,2,17,away from or not on something,The book fell off the table.
led,2,17,guided or showed the way; past form of lead,The guide led us through the museum.
spell,2,17,to say or write the letters of a word in order,Can you spell your name?
air,2,17,the mixture of gases around Earth that we breathe,We need clean air to breathe.
bend,2,17,to curve or make something no longer straight,Bend the pipe gently.
send,2,17,to cause something to go to a person or place,I will send a letter to my cousin.
mind,2,17,"the part of a person that thinks, remembers, and feels",I changed my mind after hearing the idea.
offend,2,17,to hurt someone's feelings or make someone angry,Kind words are less likely to offend people.
sand,2,17,tiny loose pieces of rock found on beaches and deserts,We built a castle from sand.
land,2,17,the solid part of Earth's surface that is not covered by water,The boat finally reached land.
wind,2,17,moving air,The wind moved the leaves.
yes,2,17,a word used to agree or give a positive answer,I said yes to the invitation.
week,2,17,a period of seven days,There are seven days in a week.
share,2,17,"to use, have, or give something together with others",We share the crayons.
fourth,2,17,number four in order,She was fourth in line.
away,2,18,at or to a different place,The bird flew away.
animal,2,18,a living thing that can usually move and must eat food,A dog is an animal.
house,2,18,a building where people live,Their house has a blue door.
point,2,18,"an exact place, a sharp tip, or a mark used in math",Mark the point on the graph.
spot,2,18,"a small area, mark, or place",I found a sunny spot to sit.
desk,2,18,a piece of furniture with a flat top used for reading or writing,My book is on the desk.
mask,2,18,a covering worn over part or all of the face,The costume included a mask.
task,2,18,a piece of work that needs to be done,Our first task was to sort the cards.
ask,2,18,to say a question or request information,Please ask if you need help.
tusk,2,18,a long pointed tooth that sticks out from some animals,An elephant has a tusk on each side of its trunk.
disk,2,18,"a flat, round object",The toy has a round disk.
hero,2,18,a person admired for courage or for helping others,The firefighter was a hero in the story.
able,2,18,having the skill or power to do something,She was able to solve the puzzle.
monument,2,18,a structure built to remember a person or event,We visited a monument in the city.
pair,2,18,two things that belong or are used together,I need a pair of socks.
multiply,2,18,to find the total of equal groups by repeated addition,We multiply three by four to get twelve.
letter,2,19,"a written message, or one symbol in the alphabet",I wrote a letter to my grandmother.
